Names,Category,Sub Category,Rank,Technology
rtsp,media,photo-video,3,client-server
ruckus,media,audio-streaming,4,browser-based
runescape,media,gaming,1,client-server
rusers,business-systems,management,2,client-server
rvd,networking,ip-protocol,1,network-protocol
rwho,general-internet,internet-utility,1,client-server
rypple,collaboration,social-business,1,browser-based
s1ap,networking,ip-protocol,1,network-protocol
saasu,saas,general-business,1,browser-based
saba-centra-meeting,saas,internet-conferencing,4,client-server
safetynet-p-rtfn-base,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cdc,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cdc-shb,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-msc-abort,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-msc-init,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-msc-init-fast,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-msc-send,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-msc-send-last,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-msc-ack,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cms-scan-req,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cms-scan-rsp,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cms-sub-req,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cms-sub-ack,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cms-unsub,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cms-alive,business-systems,ics-protocols,1,client-server
safetynet-p-rtfn-cms-unpub,business-systems,ics-protocols,1,client-server
sakai,business-systems,general-business,2,browser-based
salesforce-editing,saas,erp-crm,1,browser-based
salesforce-sharing,saas,erp-crm,1,browser-based
salesforce-posting,saas,erp-crm,1,browser-based
salesforce-base,saas,erp-crm,2,browser-based
salesforce-uploading,saas,erp-crm,2,browser-based
salesforce-downloading,saas,erp-crm,2,browser-based
salesforce-chatter,saas,social-business,2,browser-based
salesforce-desk,saas,management,2,browser-based
saltstack,business-systems,management,1,client-server
samanage,saas,management,2,browser-based
samepage,saas,management,2,browser-based
samsung-tizen-push,business-systems,software-development,1,client-server
samsung-updates,business-systems,software-update,1,browser-based
sap,business-systems,erp-crm,3,client-server
sap-hana,business-systems,database,1,client-server
sap-jam-uploading,business-systems,erp-crm,3,browser-based
sap-jam-base,saas,erp-crm,2,browser-based
sat-expak,networking,ip-protocol,1,network-protocol
sat-mon,networking,ip-protocol,1,network-protocol
saxopress,business-systems,general-business,1,client-server
sbs-netv,media,photo-video,3,browser-based
scc-sp,networking,ip-protocol,1,browser-based
sccp,collaboration,voip-video,2,peer-to-peer
scep,networking,infrastructure,2,client-server
scheduleonce,saas,internet-conferencing,1,browser-based
schmedley,collaboration,social-networking,3,browser-based
scotty,networking,proxy,4,client-server
scps,networking,ip-protocol,1,network-protocol
screenbeam-receiver,media,photo-video,1,client-server
screencast-uploading,media,photo-video,2,client-server
screencast-base,saas,photo-video,4,browser-based
screenconnect,networking,remote-access,4,client-server
scribd-downloading,general-internet,file-sharing,3,browser-based
scribd-uploading,general-internet,file-sharing,4,browser-based
scribd-base,general-internet,file-sharing,3,client-server
sctp,networking,ip-protocol,1,network-protocol
sdrp,networking,routing,1,network-protocol
seamless-phenom,general-internet,file-sharing,4,peer-to-peer
second-life-voice-chat,collaboration,voip-video,1,client-server
second-life-base,media,gaming,4,client-server
secret,collaboration,social-networking,4,browser-based
secs-gem,networking,infrastructure,1,network-protocol
secure-access,networking,encrypted-tunnel,4,browser-based
secure-access-sync,networking,infrastructure,1,network-protocol
secure-data-space-base,business-systems,management,1,client-server
secure-data-space-uploading,business-systems,management,2,client-server
secure-data-space-posting,saas,management,1,client-server
secure-data-space-editing,saas,management,1,client-server
secure-data-space-sharing,saas,management,1,client-server
secure-data-space-downloading,saas,management,2,client-server
secure-vmtp,networking,ip-protocol,1,network-protocol
securedocs,saas,management,2,browser-based
securemeeting,saas,internet-conferencing,3,browser-based
secureserver-mail,collaboration,email,4,browser-based
securid,business-systems,auth-service,2,client-server
security-kiss,networking,encrypted-tunnel,4,client-server
seeqpod,media,audio-streaming,3,browser-based
seesmic,collaboration,voip-video,3,browser-based
sel-acselerator-rtac,business-systems,ics-protocols,1,client-server
sel-fast-messaging,business-systems,ics-protocols,1,client-server
send-anywhere,general-internet,file-sharing,2,client-server
send-to-phone,collaboration,email,1,client-server
sendgrid,saas,email,2,browser-based
sendoid,general-internet,file-sharing,2,peer-to-peer
sendspace,saas,file-sharing,4,browser-based
sendthisfile-base,general-internet,file-sharing,2,browser-based
sendthisfile-uploading,general-internet,file-sharing,2,browser-based
sentillion,business-systems,medical,2,browser-based
sentinelone,business-systems,management,1,client-server
serial-over-lan,business-systems,general-business,3,network-protocol
service-now-posting,saas,management,1,browser-based
service-now-base,saas,management,2,browser-based
service-now-uploading,saas,management,2,browser-based
service-now-downloading,saas,management,2,browser-based
service-now-editing,saas,management,3,browser-based
service-now-sharing,saas,management,3,browser-based
session-announcement-protocol,general-internet,internet-utility,1,network-protocol
setupvpn,networking,encrypted-tunnel,3,browser-based
seven-email,collaboration,email,3,client-server
sfax,saas,general-business,2,browser-based
sflow,business-systems,management,1,client-server
share-p2p,general-internet,file-sharing,4,peer-to-peer
sharebase.to,general-internet,file-sharing,5,browser-based
sharebox,general-internet,file-sharing,4,client-server
sharefile-editing,saas,file-sharing,3,browser-based
sharefile-base,saas,file-sharing,4,browser-based
sharefile-uploading,saas,file-sharing,4,browser-based
sharefile-downloading,saas,file-sharing,4,browser-based
sharepoint-blog-posting,business-systems,general-business,3,browser-based
sharepoint-calendar,business-systems,general-business,3,browser-based
sharepoint-admin,business-systems,general-business,3,client-server
sharepoint-base,collaboration,social-business,3,browser-based
sharepoint-wiki,collaboration,web-posting,3,browser-based
sharepoint-documents,business-systems,general-business,3,browser-based
sharevault-base,saas,file-sharing,2,browser-based
sharevault-file-transfer,saas,file-sharing,2,browser-based
shavlik-netchk,business-systems,management,1,client-server
shim6,networking,ip-protocol,1,network-protocol
shipstation,saas,general-business,2,browser-based
shodan,business-systems,database,1,browser-based
shoebox,media,photo-video,1,client-server
shoutcast,media,audio-streaming,1,client-server
showmax-base,media,photo-video,1,browser-based
showmax-streaming,media,photo-video,2,browser-based
showmypc,saas,remote-access,4,client-server
showtime,media,photo-video,2,browser-based
shutterfly,media,photo-video,3,browser-based
sick-sopas-webserver,business-systems,ics-protocols,1,browser-based
siebel-crm,business-systems,erp-crm,3,client-server
siemens-epoc,business-systems,medical,1,client-server
siemens-factorylink,business-systems,ics-protocols,1,client-server
siemens-p2,business-systems,ics-protocols,1,client-server
siemens-s7-base,business-systems,ics-protocols,1,network-protocol
siemens-s7-read,business-systems,ics-protocols,1,network-protocol
siemens-s7-stop,business-systems,ics-protocols,1,network-protocol
siemens-s7-start,business-systems,ics-protocols,1,network-protocol
siemens-s7-setup-communication,business-systems,ics-protocols,1,network-protocol
siemens-s7-check-password-set,business-systems,ics-protocols,1,network-protocol
siemens-s7-status-controller,business-systems,ics-protocols,1,network-protocol
siemens-s7-upload-program,business-systems,ics-protocols,1,network-protocol
siemens-s7-download-program,business-systems,ics-protocols,1,network-protocol
siemens-s7-set-clock,business-systems,ics-protocols,1,network-protocol
siemens-s7-warm-restart,business-systems,ics-protocols,1,network-protocol
siemens-s7-write,business-systems,ics-protocols,1,network-protocol
siemens-s7-force,business-systems,ics-protocols,1,network-protocol
siemens-s7-modify-variable,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-base,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-run-cpu,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-stop-cpu,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-set-time,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-upload,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-download,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-create-ob,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-delete-ob,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-end-seq,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-explore,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-get-mtvar,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-set-mtvar,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-get-vsstr,business-systems,ics-protocols,1,network-protocol
siemens-s7-comm-plus-set-var,business-systems,ics-protocols,1,network-protocol
sightspeed,collaboration,voip-video,1,peer-to-peer
signal-base,collaboration,instant-messaging,1,client-server
signal-file-transfer,general-internet,file-sharing,2,client-server
signiant-base,saas,file-sharing,2,client-server
signiant-uploading,saas,file-sharing,3,client-server
signnow,saas,office-programs,2,browser-based
silent-circle,collaboration,voip-video,4,client-server
silex-webserver,networking,remote-access,1,client-server
silverlake-axis-sibs,business-systems,general-business,1,client-server
silverlight,general-internet,internet-utility,2,browser-based
silverpeak-edgeconnect,networking,infrastructure,1,network-protocol
simple-im,collaboration,instant-messaging,1,client-server
simplehelp,business-systems,management,4,client-server
simplenote,saas,internet-utility,1,client-server
simplify,media,audio-streaming,3,peer-to-peer
simplite-msn,collaboration,instant-messaging,4,peer-to-peer
sina-uc-base,collaboration,instant-messaging,3,client-server
sina-uc-remote-control,networking,remote-access,2,client-server
sina-uc-file-transfer,saas,file-sharing,3,client-server
sina-uc-web-disk,saas,file-sharing,4,client-server
sina-uc-audio-video,saas,voip-video,2,client-server
sina-webuc,collaboration,instant-messaging,3,browser-based
sina-weibo-posting,collaboration,social-networking,3,browser-based
sina-weibo-base,collaboration,social-networking,4,browser-based
sinec-h1,business-systems,ics-protocols,1,network-protocol
sip,collaboration,voip-video,4,peer-to-peer
sip-application,collaboration,voip-video,1,peer-to-peer
sip-message,collaboration,instant-messaging,1,peer-to-peer
sip-trunk,collaboration,voip-video,3,peer-to-peer
sip-trunk-nat,saas,voip-video,3,peer-to-peer
sip2-for-ils,business-systems,management,1,network-protocol
sipcli,collaboration,voip-video,3,peer-to-peer
sipviaheader-nat,collaboration,voip-video,4,client-server
siteminder,business-systems,auth-service,2,client-server
skip,networking,ip-protocol,1,network-protocol
sky-player,media,photo-video,4,client-server
skydrive-base,saas,file-sharing,4,browser-based
skydrive-uploading,saas,file-sharing,4,client-server
skydur,networking,proxy,2,client-server
skype,saas,voip-video,5,peer-to-peer
skype-probe,collaboration,voip-video,2,peer-to-peer
skytap,saas,infrastructure,2,browser-based
slack-sharing,saas,file-sharing,2,browser-based
slack-downloading,saas,file-sharing,3,browser-based
slack-uploading,saas,file-sharing,3,browser-based
slack-file-transfer,saas,file-sharing,4,browser-based
slack-base,saas,instant-messaging,2,browser-based
slack-editing,saas,instant-messaging,2,browser-based
slack-call,saas,internet-conferencing,2,browser-based
slacker,media,audio-streaming,2,browser-based
slemma,saas,management,2,browser-based
sliderocket,business-systems,office-programs,4,browser-based
slideshare-uploading,saas,file-sharing,2,browser-based
slideshare-base,saas,file-sharing,3,browser-based
sling,media,photo-video,2,client-server
slp,networking,infrastructure,1,network-protocol
sm,networking,ip-protocol,1,network-protocol
smallpdf-base,saas,file-sharing,2,browser-based
smallpdf-uploading,saas,file-sharing,2,browser-based
smart-bridgit,collaboration,internet-conferencing,1,client-server
smartsheet-uploading,saas,file-sharing,1,browser-based
smartsheet-sharing,saas,file-sharing,1,browser-based
smartsheet-editing,saas,file-sharing,1,browser-based
smartsheet-downloading,saas,file-sharing,2,browser-based
smartsheet-base,saas,social-business,1,browser-based
smilebox,media,photo-video,2,client-server
smiths-pharmguard,business-systems,medical,1,client-server
smp,networking,ip-protocol,1,network-protocol
smpp,general-internet,internet-utility,1,client-server
smtp-starttls,collaboration,email,4,client-server
smtp-base,collaboration,email,5,client-server
smugmug,media,photo-video,2,browser-based
snapchat,collaboration,instant-messaging,2,client-server
snapfish,media,photo-video,3,browser-based
snapmirror,business-systems,storage-backup,2,client-server
snaprevise,media,photo-video,2,browser-based
snare-server,business-systems,management,1,client-server
snmpv3,networking,infrastructure,1,client-server
snmp-base,networking,infrastructure,2,client-server
snmpv1,networking,infrastructure,2,client-server
snmpv2,networking,infrastructure,2,client-server
snmp-trap,networking,infrastructure,3,client-server
snp,networking,ip-protocol,1,network-protocol
snpp,general-internet,internet-utility,1,client-server
soap,business-systems,general-business,2,client-server
socialcam,saas,photo-video,2,client-server
socialtext-editing,collaboration,web-posting,3,browser-based
socialtv,media,photo-video,4,browser-based
socks,networking,proxy,5,network-protocol
socks2http,networking,proxy,5,network-protocol
sodapdf-base,saas,file-sharing,2,browser-based
sodapdf-uploading,saas,file-sharing,2,browser-based
softros-messenger-base,collaboration,instant-messaging,1,peer-to-peer
softros-messenger-file-transfer,general-internet,file-sharing,1,peer-to-peer
sohu-video,media,photo-video,3,browser-based
solarwinds-sam,business-systems,management,1,browser-based
solarwinds-npm,business-systems,management,1,browser-based
solarwinds-base,business-systems,management,1,browser-based
solarwinds-agent,business-systems,management,1,browser-based
solarwinds-msp-anywhere,business-systems,management,2,browser-based
solarwinds-rmm,business-systems,management,2,browser-based
solidfiles,general-internet,file-sharing,1,browser-based
solvequotes,business-systems,general-business,1,client-server
sonarqube,saas,software-development,2,client-server
sopcast,media,photo-video,5,peer-to-peer
sophos-live-protection,business-systems,software-update,2,client-server
sophos-rms,business-systems,management,1,client-server
sophos-update,business-systems,software-update,1,client-server
soribada,general-internet,file-sharing,5,peer-to-peer
sosbackup,saas,storage-backup,4,client-server
soti-mobicontrol,business-systems,management,1,client-server
soulseek,general-internet,file-sharing,5,peer-to-peer
soundcloud-base,media,audio-streaming,2,client-server
soundcloud-uploading,media,audio-streaming,3,client-server
source-engine,media,gaming,4,client-server
sourcefire-fireamp,business-systems,general-business,1,client-server
sourceforge-file-transfer,general-internet,file-sharing,2,client-server
sourceforge-uploading,saas,file-sharing,2,browser-based
sourceforge-downloading,saas,file-sharing,2,browser-based
sourceforge-base,saas,file-sharing,2,client-server
spacelabs-central-pm,business-systems,medical,1,client-server
spamfighter,general-internet,internet-utility,1,client-server
spanning,saas,storage-backup,2,browser-based
spark,collaboration,social-networking,4,browser-based
spark-im-base,collaboration,instant-messaging,1,client-server
spark-im-file-transfer,collaboration,instant-messaging,2,peer-to-peer
spector360,business-systems,general-business,1,client-server
spectrum-tv,media,photo-video,2,browser-based
speedtest,general-internet,internet-utility,2,browser-based
speedvpn,networking,encrypted-tunnel,1,client-server
spideroak,saas,storage-backup,3,client-server
spirent,business-systems,management,1,client-server
splashtop-remote,networking,remote-access,1,client-server
splunk,business-systems,management,1,client-server
spotflux,networking,encrypted-tunnel,3,client-server
spotify,media,audio-streaming,3,client-server
spotnet,general-internet,internet-utility,4,client-server
springcm,saas,social-business,2,browser-based
sprite-rpc,networking,ip-protocol,1,network-protocol
sproutsocial,saas,social-networking,4,browser-based
sps,networking,ip-protocol,1,network-protocol
square,business-systems,general-business,1,client-server
square-d-discovery,business-systems,ics-protocols,1,client-server
squirrelmail,collaboration,email,4,browser-based
srp,networking,ip-protocol,1,network-protocol
srvdir,general-internet,internet-utility,2,client-server
ss7-cap,networking,ip-protocol,1,network-protocol
ss7-inap,networking,ip-protocol,1,network-protocol
ss7-map-hlr-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-vlr-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-msc-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-eir-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-gsmscf-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-gmlc-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-siwf-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-sgsn-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-ggsn-callingparty,networking,ip-protocol,1,network-protocol
ss7-map-css-callingparty,networking,ip-protocol,1,network-protocol
ss7-sccp,networking,ip-protocol,1,network-protocol
sscopmce,networking,ip-protocol,1,network-protocol
ssdp,networking,infrastructure,1,peer-to-peer
ssh,networking,encrypted-tunnel,4,client-server
ssh-tunnel,networking,encrypted-tunnel,5,client-server
ssl,networking,encrypted-tunnel,4,browser-based
st,networking,ip-protocol,1,network-protocol
stackoverflow-team,collaboration,social-networking,1,browser-based
stackoverflow-base,collaboration,social-networking,2,browser-based
stagevu,media,photo-video,3,browser-based
stanag-4406,networking,infrastructure,1,network-protocol
stanag-5066,networking,infrastructure,1,network-protocol
starcraft,media,gaming,1,client-server
starleaf,collaboration,internet-conferencing,1,client-server
startmail,saas,email,2,browser-based
starz,media,photo-video,3,browser-based
statsd,general-internet,internet-utility,1,client-server
stealthnet,general-internet,file-sharing,4,peer-to-peer
steam,media,gaming,3,client-server
steekr,general-internet,file-sharing,3,browser-based
steganos-vpn,networking,encrypted-tunnel,4,client-server
stickam,collaboration,voip-video,5,browser-based
stockstar,business-systems,general-business,1,client-server
stocktwits-base,collaboration,social-networking,2,browser-based
stocktwits-posting,collaboration,social-networking,2,browser-based
stomp,business-systems,general-business,1,client-server
storage.to,general-internet,file-sharing,5,browser-based
storify-posting,collaboration,social-networking,1,browser-based
storify-base,collaboration,social-networking,3,browser-based
storix,business-systems,storage-backup,1,client-server
stp,networking,ip-protocol,1,network-protocol
stratasys-uprint,business-systems,general-business,1,network-protocol
stratum-mining-protocol,general-internet,internet-utility,2,network-protocol
streak,saas,management,1,browser-based
streamaudio,media,audio-streaming,3,browser-based
streambox,media,photo-video,2,client-server
streampix,media,photo-video,1,client-server
streamtime,saas,management,2,browser-based
streamyard,general-internet,internet-utility,2,browser-based
streetchat,collaboration,social-networking,2,client-server
strongvpn,networking,encrypted-tunnel,1,client-server
stryker-axeda-gateway,business-systems,medical,1,client-server
stryker-or-hub-heartbeat,business-systems,medical,1,client-server
stryker-sewsi,business-systems,medical,1,client-server
studivz,collaboration,social-networking,2,browser-based
stumbleupon,collaboration,social-networking,5,browser-based
stun,networking,infrastructure,2,network-protocol
sua,networking,ip-protocol,1,network-protocol
subspace,media,gaming,3,client-server
subversion-base,business-systems,general-business,3,client-server
subversion-uploading,business-systems,general-business,3,client-server
successfactors,saas,general-business,1,browser-based
sugar-crm,saas,erp-crm,2,browser-based
sugarsync,saas,file-sharing,4,client-server
suitelink,business-systems,ics-protocols,1,client-server
sumo-logic,saas,management,3,browser-based
sun-nd,networking,ip-protocol,1,network-protocol
sunlogin-remote-control,networking,remote-access,1,client-server
supremo,networking,remote-access,2,client-server
suresome,networking,proxy,5,browser-based
surrogafier,networking,proxy,4,browser-based
surveylegend-base,business-systems,general-business,2,browser-based
surveylegend-uploading,business-systems,general-business,2,browser-based
surveymonkey-editing,saas,marketing,1,browser-based
surveymonkey-sharing,saas,marketing,1,browser-based
surveymonkey-base,saas,marketing,2,browser-based
surveymonkey-downloading,saas,marketing,2,browser-based
surveymonkey-uploading,saas,marketing,2,browser-based
surveysparrow-base,general-internet,internet-utility,2,browser-based
surveysparrow-uploading,general-internet,internet-utility,2,browser-based
sutisurvey-base,general-internet,internet-utility,2,browser-based
sutisurvey-uploading,general-internet,internet-utility,2,browser-based
svtplay,media,photo-video,2,browser-based
swapper,collaboration,instant-messaging,5,browser-based
sway,business-systems,office-programs,2,browser-based
swiftmq,business-systems,general-business,1,client-server
swipe,networking,encrypted-tunnel,2,client-server
swisslog-pts,business-systems,medical,1,client-server
swisstransfer,general-internet,file-sharing,3,browser-based
swyx-cds,business-systems,management,1,client-server
sybase,business-systems,database,3,client-server
symantec-av-update,business-systems,software-update,3,client-server
symantec-endpoint-manager,business-systems,management,2,client-server
symantec-syst-center,business-systems,management,1,client-server
symbee-connect,business-systems,general-business,1,browser-based
symphony,saas,social-business,2,browser-based
sync,general-internet,file-sharing,2,browser-based
syncplicity-sharing,saas,file-sharing,1,client-server
syncplicity-uploading,saas,file-sharing,2,client-server
syncplicity-downloading,saas,file-sharing,2,client-server
syncplicity-base,saas,file-sharing,3,client-server
synergy,networking,remote-access,1,client-server
syngo-dynamics-portal,business-systems,medical,1,client-server
synology-cloudstation,business-systems,storage-backup,4,client-server
synology-dsm,business-systems,management,4,browser-based
syslog,business-systems,management,2,client-server
t-online-mail,collaboration,email,3,browser-based
t.120,networking,infrastructure,3,network-protocol
t.38,networking,infrastructure,1,network-protocol
t3,business-systems,general-business,1,client-server
tableau-base,general-internet,internet-utility,1,client-server
tableau-editing,saas,internet-utility,1,browser-based
tableau-downloading,saas,internet-utility,2,browser-based
tableau-uploading,saas,internet-utility,2,client-server
tableau-public,general-internet,internet-utility,3,client-server
tacacs,business-systems,auth-service,1,client-server
tacacs-plus,business-systems,auth-service,1,client-server
tagoo,media,audio-streaming,4,browser-based
taku-file-bin,general-internet,file-sharing,4,browser-based
tales-runner,media,gaming,2,client-server
talkbox,saas,instant-messaging,1,client-server
tango,collaboration,voip-video,2,client-server
tanium,business-systems,management,1,client-server
taobao,business-systems,general-business,1,browser-based
tcf,networking,ip-protocol,1,network-protocol
tcp-over-dns,networking,encrypted-tunnel,4,client-server
teachertube,media,photo-video,3,browser-based
tealeaf,business-systems,general-business,1,client-server
teamcenter,business-systems,management,2,client-server
teamdrive-base,general-internet,file-sharing,2,client-server
teamdrive-uploading,general-internet,file-sharing,2,client-server
teamsound,collaboration,voip-video,1,peer-to-peer
teamspeak,collaboration,voip-video,1,peer-to-peer
teamup-calendar-base,saas,general-business,4,browser-based
teamup-calendar-uploading,saas,general-business,4,browser-based
teamviewer-sharing,saas,remote-access,2,client-server
teamviewer-remote-control,saas,remote-access,2,client-server
teamviewer-base,saas,remote-access,3,client-server
teamviewer-web,networking,remote-access,2,browser-based
techinline,saas,remote-access,4,browser-based
telegram-base,collaboration,instant-messaging,2,client-server
telegram-audio-video,collaboration,voip-video,1,client-server
telenet-webmail,saas,email,4,browser-based
telex,networking,proxy,2,client-server
telnet,networking,remote-access,2,client-server
temenos-t24,business-systems,general-business,1,client-server
temptrak,business-systems,general-business,1,network-protocol
tenable-nessus,general-internet,internet-utility,2,client-server
tenable-security-center,general-internet,internet-utility,1,client-server
tencent-meeting,collaboration,internet-conferencing,2,browser-based
tencent-video,media,photo-video,2,client-server
teradata,business-systems,database,2,client-server
teredo,networking,routing,1,network-protocol
terraria,media,gaming,1,client-server
tesla,general-internet,file-sharing,5,peer-to-peer
tesla-car-app,business-systems,management,1,client-server
textnow,saas,instant-messaging,2,client-server
tftp,general-internet,file-sharing,4,client-server
tgx-remote-desktop,collaboration,social-business,1,client-server
thecircle,general-internet,file-sharing,5,peer-to-peer
thinkfree,saas,office-programs,4,browser-based
thinmanager-configuration,business-systems,ics-protocols,1,client-server
thousandeyes,saas,management,2,browser-based
threema,collaboration,instant-messaging,3,client-server
thunder-vpn,networking,encrypted-tunnel,3,client-server
thundertix,saas,general-business,1,browser-based
thwapr-sharing,media,photo-video,1,client-server
thwapr-base,media,photo-video,2,client-server
thwapr-uploading,media,photo-video,4,client-server
tibbr,saas,social-business,3,browser-based
tibero,business-systems,database,1,client-server
tidal,media,audio-streaming,2,browser-based
tidaltv,media,photo-video,3,browser-based
tigertext,saas,social-business,3,client-server
tikiwiki-editing,collaboration,web-posting,2,browser-based
tiktok,media,photo-video,2,client-server
timbuktu,collaboration,internet-conferencing,4,client-server
time,business-systems,management,1,client-server
tinder,collaboration,social-networking,1,client-server
tinyvpn,networking,encrypted-tunnel,3,client-server
tiscali-mail,saas,email,3,browser-based
tistory-blog-posting,collaboration,web-posting,2,browser-based
titanize,general-internet,file-sharing,3,browser-based
tivoli-network-monitoring,business-systems,management,1,client-server
tivoli-storage-manager,business-systems,storage-backup,3,client-server
tlsp,networking,ip-protocol,1,network-protocol
tokbox,saas,voip-video,3,browser-based
tonghuashun,business-systems,general-business,1,client-server
toolsnet-open-protocol,business-systems,ics-protocols,1,client-server
tor,networking,encrypted-tunnel,4,client-server
tor2web,networking,proxy,4,browser-based
torch-browser-base,general-internet,internet-utility,3,browser-based
torch-browser-music,media,audio-streaming,2,browser-based
torch-browser-games,media,gaming,2,browser-based
toshiba-tec-pcl,business-systems,management,2,client-server
totodisk,general-internet,file-sharing,5,peer-to-peer
totoexpress,general-internet,file-sharing,4,browser-based
touchdown,collaboration,email,2,client-server
tp-plus-plus,networking,ip-protocol,1,network-protocol
traceroute,general-internet,internet-utility,2,network-protocol
traceroute6,general-internet,internet-utility,2,network-protocol
track-it,business-systems,management,1,client-server
tradestation,business-systems,general-business,1,client-server
tradogram,saas,general-business,2,browser-based
trakstar,saas,management,2,browser-based
transferbigfiles,saas,file-sharing,5,browser-based
traps-management-service,business-systems,management,1,client-server
trello-editing,saas,management,1,browser-based
trello-base,saas,management,2,browser-based
trello-uploading,saas,management,2,browser-based
trello-downloading,saas,management,2,browser-based
trendmicro,business-systems,software-update,1,client-server
trendmicro-earthagent,business-systems,software-update,1,client-server
trendmicro-officescan,business-systems,management,2,client-server
trendmicro-safesync,business-systems,storage-backup,3,client-server
tresorit-base,saas,storage-backup,2,client-server
tresorit-uploading,saas,storage-backup,2,client-server
tresorit-downloading,saas,storage-backup,2,client-server
trillian,saas,instant-messaging,3,client-server
trinoo,general-internet,internet-utility,5,peer-to-peer
trippy,collaboration,social-networking,2,browser-based
tristation-base,business-systems,ics-protocols,1,network-protocol
tristation-connect-req,business-systems,ics-protocols,1,network-protocol
tristation-connect-rsp,business-systems,ics-protocols,1,network-protocol
tristation-run-program,business-systems,ics-protocols,1,network-protocol
tristation-disconnect-req,business-systems,ics-protocols,1,network-protocol
tristation-get-cp-status-req,business-systems,ics-protocols,1,network-protocol
tristation-get-cp-status-rsp,business-systems,ics-protocols,1,network-protocol
trueshare,saas,file-sharing,3,client-server
trunk-1,networking,ip-protocol,1,network-protocol
trunk-2,networking,ip-protocol,1,network-protocol
tsp,networking,infrastructure,1,network-protocol
tsunami,general-internet,file-sharing,2,client-server
ttp,networking,ip-protocol,1,network-protocol
tubes,general-internet,file-sharing,4,peer-to-peer
tubitv,saas,photo-video,2,browser-based
tudou,media,photo-video,5,browser-based
tudou-speedup,media,photo-video,4,peer-to-peer
tuenti,collaboration,social-networking,3,browser-based
tumblr-base,collaboration,social-networking,2,browser-based
tumblr-posting,collaboration,web-posting,2,browser-based
tunein,media,audio-streaming,2,client-server
tunnelbear,networking,encrypted-tunnel,4,client-server
turboshare,general-internet,file-sharing,4,browser-based
turboupload,general-internet,file-sharing,5,browser-based
turkcell-bip,collaboration,instant-messaging,2,client-server
turnitin,collaboration,web-posting,2,browser-based
tv4play,media,photo-video,2,browser-based
tvants,media,photo-video,4,peer-to-peer
tvb-video,media,photo-video,2,browser-based
tvtonic,media,audio-streaming,3,client-server
tvu,media,photo-video,3,client-server
twig,collaboration,email,4,client-server
twilio,saas,voip-video,2,client-server
twincat,business-systems,ics-protocols,1,client-server
twitch,media,photo-video,4,browser-based
twitpic,collaboration,instant-messaging,3,browser-based
twitter-base,collaboration,social-networking,3,browser-based
twitter-editing,collaboration,social-networking,3,browser-based
twitter-posting,collaboration,social-networking,4,browser-based
twitter-uploading,collaboration,social-networking,4,browser-based
twitter-messaging,collaboration,social-networking,4,browser-based
twtkr,collaboration,social-networking,3,browser-based
txp,networking,remote-access,4,network-protocol
tyco-access,business-systems,ics-protocols,1,client-server
u-meeting,collaboration,internet-conferencing,2,client-server
uaudp,networking,ip-protocol,1,network-protocol
uberconference,saas,internet-conferencing,1,browser-based
ubisoft-uplay,media,gaming,3,client-server
ubuntu-one,general-internet,file-sharing,3,client-server
uc-yun-base,saas,file-sharing,2,browser-based
uc-yun-uploading,saas,file-sharing,3,browser-based
uc-yun-downloading,saas,file-sharing,3,browser-based
udemy-base,saas,general-business,2,browser-based
udemy-business,saas,general-business,2,browser-based
