Names,Category,Sub Category,Rank,Technology
bacnet-who-has-binary-output,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-trend-log,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-access-point,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-access-right,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-access-user,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-accumulator,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-analog-input,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-analog-output,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-analog-value,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-averaging,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-binary-input,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-binary-value,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-bitstring-value,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-calendar,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-command,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-cred-data-input,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-date-pattern-val,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-date-value,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-event-log,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-global-group,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-group,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-integer-value,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-large-analog-val,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-life-safety-pt,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-life-safety-zone,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-multi-state-in,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-multi-state-out,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-multi-state-val,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-network-security,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-notification-cls,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-octatestring-val,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-pulse-converter,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-schedule,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-structured-view,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-time-pattern-val,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-time-value,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-trend-log-mul,business-systems,ics-protocols,1,network-protocol
bacnet-error,business-systems,ics-protocols,1,network-protocol
